time	V(vin)	V(n001)
2.004267852225135e-002	5.000000e+000	1.138255e-004
2.004470737072862e-002	5.000000e+000	6.572631e-005
2.004708653493211e-002	5.000000e+000	3.463477e-005
2.005021024205136e-002	5.000000e+000	1.518906e-005
2.005428396407137e-002	5.000000e+000	5.260455e-006
2.006034624661039e-002	5.000000e+000	1.152450e-006
2.007019229092957e-002	5.000000e+000	5.282951e-008
2.500000000000000e-002	5.000000e+000	3.568793e-009
2.500000100000000e-002	5.000000e+000	3.568793e-009
2.500000100220000e-002	4.989000e+000	-3.408143e-005
2.500000100660000e-002	4.967000e+000	-1.022547e-004
2.500000106820000e-002	4.659000e+000	-1.056716e-003
2.500000113860000e-002	4.307000e+000	-2.147513e-003
2.500000127940000e-002	3.603000e+000	-4.326953e-003
2.500000156100000e-002	2.195000e+000	-8.653872e-003
2.500000200000000e-002	0.000000e+000	-1.533063e-002
2.500000200096613e-002	0.000000e+000	-1.533005e-002
2.500000200289840e-002	0.000000e+000	-1.532890e-002
2.500000652494930e-002	0.000000e+000	-1.262985e-002
2.500001104700021e-002	0.000000e+000	-9.931381e-003
2.500001556905112e-002	0.000000e+000	-7.233502e-003
2.500002009110202e-002	0.000000e+000	-4.536211e-003
2.500002461315293e-002	0.000000e+000	-1.839506e-003
2.500002913520383e-002	0.000000e+000	8.566122e-004
2.500003365725474e-002	0.000000e+000	3.552144e-003
2.500006531547561e-002	0.000000e+000	2.241023e-002
2.500012052265339e-002	0.000000e+000	5.525446e-002
2.500017647338260e-002	0.000000e+000	8.848657e-002
2.500026649139003e-002	0.000000e+000	1.418479e-001
2.500035787446087e-002	0.000000e+000	1.958785e-001
2.500045895469775e-002	0.000000e+000	2.554383e-001
2.500056732554067e-002	0.000000e+000	3.189881e-001
2.500078406722651e-002	0.000000e+000	4.450733e-001
2.500121755059818e-002	0.000000e+000	6.934615e-001
2.500208451734154e-002	0.000000e+000	1.176054e+000
2.500341205920877e-002	0.000000e+000	1.870596e+000
2.500514921826578e-002	0.000000e+000	2.675853e+000
2.500688128870189e-002	0.000000e+000	3.330560e+000
2.500874024758038e-002	0.000000e+000	3.858500e+000
2.501064067442990e-002	0.000000e+000	4.239232e+000
2.501273035050353e-002	0.000000e+000	4.516215e+000
2.501516183275170e-002	0.000000e+000	4.717590e+000
2.501772114461013e-002	0.000000e+000	4.841604e+000
2.502060665370924e-002	0.000000e+000	4.917443e+000
2.502381641633691e-002	0.000000e+000	4.959931e+000
2.502775411125345e-002	0.000000e+000	4.983304e+000
2.503256281752994e-002	0.000000e+000	4.994261e+000
2.503903395792267e-002	0.000000e+000	4.998612e+000
2.504802886858690e-002	0.000000e+000	4.999853e+000
2.505802886858690e-002	0.000000e+000	5.000001e+000
2.506802886858690e-002	0.000000e+000	5.000000e+000
2.999999899999913e-002	0.000000e+000	5.000000e+000
3.000000000000000e-002	0.000000e+000	5.000000e+000
3.000000000961249e-002	4.806247e-002	5.000143e+000
3.000000002883748e-002	1.441874e-001	5.000430e+000
3.000000029798735e-002	1.489937e+000	5.004436e+000
3.000000060558719e-002	3.027936e+000	5.008975e+000
3.000000100000000e-002	5.000000e+000	5.014741e+000
3.000000100086758e-002	5.000000e+000	5.014740e+000
3.000000100260273e-002	5.000000e+000	5.014740e+000
3.000005785656061e-002	5.000000e+000	4.987380e+000
3.000011471398881e-002	5.000000e+000	4.960024e+000
3.000017167425036e-002	5.000000e+000	4.932619e+000
3.000028559477348e-002	5.000000e+000	4.877800e+000
3.000045281027807e-002	5.000000e+000	4.797337e+000
3.000057854308944e-002	5.000000e+000	4.736869e+000
3.000074678685824e-002	5.000000e+000	4.656051e+000
3.000108327439584e-002	5.000000e+000	4.494749e+000
3.000175624947105e-002	5.000000e+000	4.173459e+000
3.000310219962148e-002	5.000000e+000	3.536556e+000
3.000468318104779e-002	5.000000e+000	2.809932e+000
3.000633005536107e-002	5.000000e+000	2.113894e+000
3.000807373227175e-002	5.000000e+000	1.495278e+000
3.001007470686703e-002	5.000000e+000	9.730074e-001
3.001297174851171e-002	5.000000e+000	4.650504e-001
3.001447296766789e-002	5.000000e+000	2.973004e-001
3.001571207143969e-002	5.000000e+000	2.122528e-001
3.001715677668952e-002	5.000000e+000	1.440846e-001
3.001868464040096e-002	5.000000e+000	9.455634e-002
3.002015797915611e-002	5.000000e+000	6.254706e-002
3.002157385976936e-002	5.000000e+000	4.201910e-002
3.002296875253930e-002	5.000000e+000	2.841531e-002
